source,target,value
 108;111;135;161;186;23;40;8;84;85;96(1),NoHCC(2),1
 108;111;135;167;186;2;23;28;48;80;84;85;87;9;96;99(1),NoHCC(2),1
 108;111;135;176;186;2;23;33;40;84;85;87;9;96(1),NoHCC(2),1
 108;111;135;186;23;57;84;85;87;9(1),NoHCC(2),1
 108;111;135;2;39;84;87;96(1),NoHCC(2),1
 108;111;136;2;84;85(1),NoHCC(2),1
 108;111;136;84(1),NoHCC(2),1
 108;111;84;96(1),NoHCC(2),1
 108;111;85(1),NoHCC(2),1
 108;111;9(1),NoHCC(2),1
 108;111;96(1),NoHCC(2),1
 108;112(1),NoHCC(2),5
 108;112;114;135;186;2;48;84;85(1),10(2),1
 108;112;12;169;186;188;23;28;33;84;85;96;99(1),NoHCC(2),1
 108;112;135;167;186;188;23;28;8;84;96(1),NoHCC(2),1
 108;112;135;186;188;19;2;23;58;6;79;8;84;85;96;99(1),NoHCC(2),1
 108;112;135;186;19;6;9;96(1),NoHCC(2),1
 108;112;137(1),NoHCC(2),1
 108;112;28;84;85;86;96(1),NoHCC(2),1
 108;112;48(1),111(2),1
 108;112;84;85(1),NoHCC(2),1
 108;114(1),NoHCC(2),1
 108;114;135;71;79;84;96(1),NoHCC(2),1
 108;114;167;188;82;99(1),NoHCC(2),1
 108;114;188;2;84;85;96(1),NoHCC(2),1
 108;114;19(1),NoHCC(2),1
 108;115;136(1),NoHCC(2),1
 108;12(1),NoHCC(2),1
 108;12;135;58(1),NoHCC(2),1
 108;122;135;170;186;19;2;23;40;46;58;79;8;84;85;96(1),NoHCC(2),1
 108;134;161;176;39;96(1),NoHCC(2),1
 108;135;161(1),NoHCC(2),1
 108;135;170;176;186;23;28;57;79;8;84;85;96;99(1),NoHCC(2),1
 108;135;40(1),NoHCC(2),1
 108;135;84;85(1),NoHCC(2),1
 108;135;84;85;96(1),NoHCC(2),2
 108;135;85;96(1),NoHCC(2),1
 108;136(1),NoHCC(2),4
 108;136;85;87(1),NoHCC(2),1
 108;136;85;87;9(1),NoHCC(2),1
 108;161(1),NoHCC(2),2
 108;161;18(1),NoHCC(2),1
 108;161;39(1),NoHCC(2),1
 108;167;23;99(1),NoHCC(2),1
 108;167;99(1),NoHCC(2),1
 108;170(1),NoHCC(2),1
 108;170;23;33(1),NoHCC(2),1
 108;170;23;96(1),NoHCC(2),1
 108;176(1),11(2),1
 108;176(1),NoHCC(2),2
 108;176;33(1),NoHCC(2),1
 108;18(1),NoHCC(2),2
 108;18;84(1),NoHCC(2),1
 108;186;19;27;84;9(1),NoHCC(2),1
 108;19(1),NoHCC(2),2
 108;19;22(1),NoHCC(2),1
 108;19;33;85;9;99(1),NoHCC(2),1
 108;19;96(1),NoHCC(2),1
 108;2(1),NoHCC(2),2
 108;2;79;8(1),NoHCC(2),1
 108;2;84;85;96(1),NoHCC(2),1
 108;23(1),NoHCC(2),3
 108;23;47;9(1),NoHCC(2),1
 108;23;54;79;8;80(1),NoHCC(2),1
 108;23;96(1),NoHCC(2),1
 108;27(1),NoHCC(2),1
 108;27;9(1),NoHCC(2),1
 108;28;33;84;85;96(1),NoHCC(2),1
 108;29;9(1),NoHCC(2),1
 108;33;72;99(1),NoHCC(2),1
 108;33;96(1),NoHCC(2),2
 108;46(1),NoHCC(2),2
 108;48;85;96(1),NoHCC(2),1
 108;72(1),NoHCC(2),1
 108;75;84(1),NoHCC(2),1
 108;79(1),NoHCC(2),1
 108;79;80;99(1),NoHCC(2),1
 108;79;96;99(1),NoHCC(2),1
 108;84(1),NoHCC(2),8
 108;84;85(1),NoHCC(2),4
 108;84;85;86(1),NoHCC(2),1
 108;84;85;9;96(1),NoHCC(2),1
 108;84;85;96(1),NoHCC(2),1
 108;84;87(1),NoHCC(2),2
 108;84;96(1),NoHCC(2),3
 108;85(1),NoHCC(2),20
 108;85;87(1),NoHCC(2),2
 108;85;96(1),NoHCC(2),4
 108;86;96(1),NoHCC(2),1
 108;87;96(1),NoHCC(2),1
 108;88(1),NoHCC(2),1
 108;9(1),NoHCC(2),5
 108;96(1),NoHCC(2),13
 108;99(1),108(2),1
 108;99(1),NoHCC(2),3
 11;111(1),NoHCC(2),3
 11;111;135;2;33;84(1),NoHCC(2),1
 11;112(1),NoHCC(2),1
 11;112;33(1),NoHCC(2),1
 11;135(1),NoHCC(2),1
 11;135;176(1),11(2),1
 11;135;85;86(1),NoHCC(2),1
 11;169;33(1),NoHCC(2),1
 11;176(1),NoHCC(2),1
 11;23(1),NoHCC(2),1
 11;28;84(1),NoHCC(2),1
 11;75(1),NoHCC(2),1
 11;84(1),NoHCC(2),1
 11;84;85;96(1),12(2),1
 11;96(1),NoHCC(2),1
 110;124;135;18;186;23;27;33;46;58;78;8;82;96(1),NoHCC(2),1
 110;186(1),NoHCC(2),1
 110;19(1),NoHCC(2),1
 111;114;84;85(1),NoHCC(2),1
 111;114;85(1),NoHCC(2),1
 111;12(1),NoHCC(2),1
 111;12;58(1),NoHCC(2),1
 111;12;79(1),NoHCC(2),1
 111;124;9(1),100(2),1
 111;135;176;186;19;47;57;78;85;9;96;99(1),NoHCC(2),1
 111;135;186;33;48;84(1),NoHCC(2),1
 111;135;19;2;33;84;96(1),NoHCC(2),1
 111;135;85(1),NoHCC(2),1
 111;136(1),NoHCC(2),1
 111;169(1),NoHCC(2),1
 111;170;23(1),NoHCC(2),1
 111;176;84(1),NoHCC(2),1
 111;186(1),NoHCC(2),5
 111;186;19;9(1),NoHCC(2),1
 111;19(1),NoHCC(2),2
 111;19;85(1),NoHCC(2),1
 111;19;9(1),NoHCC(2),1
 111;2;85(1),NoHCC(2),1
 111;23(1),NoHCC(2),4
 111;23;9(1),NoHCC(2),1
 111;27;9(1),9(2),1
 111;33;35(1),NoHCC(2),1
 111;47(1),NoHCC(2),1
 111;54;84(1),NoHCC(2),1
 111;70(1),NoHCC(2),1
 111;79(1),NoHCC(2),1
 111;8(1),NoHCC(2),1
 111;84(1),NoHCC(2),1
 111;84;85(1),NoHCC(2),3
 111;84;96(1),NoHCC(2),4
 111;85(1),NoHCC(2),7
 111;85;96(1),NoHCC(2),1
 111;86(1),NoHCC(2),1
 111;88(1),NoHCC(2),1
 111;9(1),NoHCC(2),9
 111;96(1),NoHCC(2),5
 111;99(1),NoHCC(2),1
 112;115(1),NoHCC(2),1
 112;12(1),NoHCC(2),5
 112;136(1),NoHCC(2),2
 112;186(1),NoHCC(2),2
 112;186;47;84(1),NoHCC(2),1
 112;186;84(1),NoHCC(2),1
 112;19(1),NoHCC(2),2
 112;23(1),NoHCC(2),2
 112;33(1),NoHCC(2),1
 112;40(1),NoHCC(2),1
 112;47(1),NoHCC(2),1
 112;8(1),NoHCC(2),2
 112;85(1),NoHCC(2),1
 112;9(1),NoHCC(2),4
 112;96(1),NoHCC(2),1
 114;188;82(1),NoHCC(2),1
 114;2;84(1),NoHCC(2),1
 114;23;84(1),NoHCC(2),1
 114;84;85;96(1),NoHCC(2),1
 114;84;96;99(1),NoHCC(2),1
 115;72;99(1),NoHCC(2),1
 115;84;85;96(1),NoHCC(2),1
 12;186;96(1),NoHCC(2),1
 12;19(1),NoHCC(2),1
 12;19;79;80;85;99(1),NoHCC(2),1
 12;19;99(1),NoHCC(2),1
 12;23(1),NoHCC(2),4
 12;28(1),NoHCC(2),1
 12;33(1),NoHCC(2),1
 12;46(1),NoHCC(2),1
 12;48(1),NoHCC(2),1
 12;48;77(1),77(2),1
 12;78(1),NoHCC(2),1
 12;79(1),NoHCC(2),3
 12;80(1),NoHCC(2),1
 12;80;84(1),NoHCC(2),1
 12;80;96(1),NoHCC(2),1
 12;96(1),NoHCC(2),1
 12;99(1),NoHCC(2),1
 122;124(1),NoHCC(2),3
 122;124;18(1),NoHCC(2),1
 122;18(1),NoHCC(2),6
 124;186;39;9;99(1),NoHCC(2),1
 134;39;96(1),NoHCC(2),1
 135;167;70;80;99(1),NoHCC(2),1
 135;170;186;29;47;48;87;96(1),NoHCC(2),1
 135;176;48;84;85;96;99(1),NoHCC(2),1
 135;186;47;6;85(1),108(2),1
 135;186;48;84;85(1),NoHCC(2),1
 135;186;48;84;85;96(1),NoHCC(2),1
 135;186;84(1),NoHCC(2),1
 135;186;85(1),NoHCC(2),1
 135;19;84;85(1),NoHCC(2),1
 135;19;84;96(1),NoHCC(2),1
 135;21;33;48;79;84(1),NoHCC(2),1
 135;33(1),NoHCC(2),1
 135;33;70;84;9;96(1),NoHCC(2),1
 135;79;82;85;87;99(1),NoHCC(2),1
 135;84(1),NoHCC(2),4
 135;84;85;86(1),NoHCC(2),1
 135;84;85;96(1),NoHCC(2),2
 135;84;87(1),NoHCC(2),1
 135;84;9(1),NoHCC(2),1
 135;85;86(1),NoHCC(2),2
 135;86(1),NoHCC(2),1
 135;9(1),NoHCC(2),1
 135;96(1),NoHCC(2),1
 136;17;85;96(1),NoHCC(2),1
 136;18(1),NoHCC(2),1
 136;18;84(1),NoHCC(2),1
 136;18;84;96(1),NoHCC(2),1
 136;2;84(1),NoHCC(2),1
 136;23;58;73(1),NoHCC(2),1
 136;28(1),NoHCC(2),1
 136;33;84(1),NoHCC(2),1
 136;79;96(1),NoHCC(2),1
 136;84(1),NoHCC(2),1
 136;84;85;96(1),NoHCC(2),1
 136;84;87;96(1),NoHCC(2),1
 136;84;96(1),NoHCC(2),1
 136;85;86(1),NoHCC(2),1
 136;87;96(1),NoHCC(2),1
 136;96(1),10(2),1
 136;96(1),NoHCC(2),2
 137;86(1),NoHCC(2),1
 161;188(1),NoHCC(2),1
 161;2(1),NoHCC(2),1
 161;39(1),NoHCC(2),2
 161;39;57(1),NoHCC(2),1
 167;169;170;23;99(1),NoHCC(2),1
 167;23(1),NoHCC(2),3
