source,target,value
 10;108(2),10(3),1
 10;112(2),10(3),1
 10;186;79(2),NoHCC(3),2
 10;19(2),NoHCC(3),1
 10;40(2),NoHCC(3),1
 10;78(2),NoHCC(3),1
 10;99(2),10(3),1
 100;78(2),NoHCC(3),2
 100;80(2),NoHCC(3),1
 103;8(2),NoHCC(3),1
 104;78(2),NoHCC(3),2
 108;111;170(2),NoHCC(3),1
 108;111;9(2),111(3),1
 108;112(2),NoHCC(3),1
 11;111(2),NoHCC(3),1
 11;75(2),NoHCC(3),1
 111;12(2),NoHCC(3),1
 111;23(2),NoHCC(3),1
 111;27;9(2),9(3),1
 111;85(2),NoHCC(3),1
 112;115(2), 107;9(3),1
 112;12(2),NoHCC(3),1
 112;79(2),NoHCC(3),1
 12;40(2),NoHCC(3),1
 12;77(2),NoHCC(3),1
 12;78(2),NoHCC(3),1
 167;79;80(2),NoHCC(3),1
 169;170(2),NoHCC(3),1
 186;27;9(2),NoHCC(3),1
 186;6(2),NoHCC(3),1
 19;78(2),NoHCC(3),1
 19;8(2),NoHCC(3),1
 23;75;78(2),NoHCC(3),2
 23;78(2),NoHCC(3),3
 23;79(2),NoHCC(3),1
 27;9(2), 27;9(3),1
 27;9(2),27(3),1
 27;9(2),NoHCC(3),1
 28;9(2),28(3),1
 28;9(2),NoHCC(3),1
 40;78(2),NoHCC(3),1
 40;79(2),NoHCC(3),1
 48;75;79(2),NoHCC(3),1
 54;78(2),NoHCC(3),1
 57;78(2),NoHCC(3),2
 71;74;79(2),NoHCC(3),2
 74;8(2),NoHCC(3),2
 75;78(2),NoHCC(3),4
 78;79(2),NoHCC(3),1
 78;9(2),NoHCC(3),2
1(2),NoHCC(3),1
10(2), 10;108(3),1
10(2),10(3),11
10(2),12(3),1
10(2),NoHCC(3),56
100(2),NoHCC(3),9
103(2),NoHCC(3),3
107(2),NoHCC(3),3
108(2),108(3),1
108(2),NoHCC(3),34
11(2),11(3),1
11(2),NoHCC(3),17
111(2),111(3),1
111(2),NoHCC(3),20
112(2),108(3),1
112(2),112(3),1
112(2),NoHCC(3),12
12(2), 112;12(3),1
12(2),12(3),4
12(2),8(3),1
12(2),NoHCC(3),46
167(2),NoHCC(3),6
169(2),NoHCC(3),13
170(2),NoHCC(3),2
176(2),NoHCC(3),2
18(2),NoHCC(3),1
186(2),NoHCC(3),2
19(2),NoHCC(3),2
23(2),NoHCC(3),17
27(2),27(3),1
28(2),28(3),1
28(2),9(3),1
28(2),NoHCC(3),6
33(2),NoHCC(3),1
34(2),NoHCC(3),1
40(2),NoHCC(3),9
46(2),NoHCC(3),1
47(2),NoHCC(3),1
57(2),NoHCC(3),6
58(2),NoHCC(3),7
72(2),NoHCC(3),7
73(2),NoHCC(3),7
75(2),NoHCC(3),1
77(2),NoHCC(3),12
78(2),NoHCC(3),129
79(2),NoHCC(3),24
8(2), 108;8(3),1
8(2),NoHCC(3),8
80(2),NoHCC(3),2
85(2),111(3),1
85(2),NoHCC(3),3
9(2),9(3),6
9(2),NoHCC(3),17
96(2),NoHCC(3),4
99(2),NoHCC(3),3
NoHCC(2), 10;108(3),1
NoHCC(2), 10;112(3),1
NoHCC(2), 10;23(3),1
NoHCC(2), 112;9(3),1
NoHCC(2), 27;78;9(3),1
NoHCC(2),10(3),28
NoHCC(2),100(3),1
NoHCC(2),107(3),1
NoHCC(2),108(3),24
NoHCC(2),11(3),4
NoHCC(2),111(3),9
NoHCC(2),112(3),11
NoHCC(2),12(3),12
NoHCC(2),135(3),1
NoHCC(2),169(3),3
NoHCC(2),170(3),3
NoHCC(2),176(3),1
NoHCC(2),23(3),4
NoHCC(2),27(3),2
NoHCC(2),28(3),1
NoHCC(2),39(3),2
NoHCC(2),40(3),1
NoHCC(2),58(3),1
NoHCC(2),72(3),6
NoHCC(2),77(3),4
NoHCC(2),78(3),1
NoHCC(2),8(3),2
NoHCC(2),80(3),1
NoHCC(2),9(3),5
NoHCC(2),96(3),2
NoHCC(2),99(3),1
NoHCC(2),NoHCC(3),3819
